Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,6/12/2023,"MISERLIS, DIMITRIOS,  MD*",ASSISTANT PROFESSOR,DIVISION OF VASCULAR SURGERY,DEPARTMENT OF SURGERY AND PERIOPERATIVE CARE,UT AUSTIN DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78701",
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,10/20/2022,"ROSALES, ADRIANNE,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
SOCIAL SCIENCES AND POPULATION STUDIES B STUDY SECTION,SSPB,2/16/2023,"THOMAS, KEVINJ A,  PHD*",PROFESSOR,DEPARTMENT OF AFRICAN AND AFRICAN DIASPORA STUDIES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,2/15/2023,"SEIDLITS, STEPHANIEKRISTIN,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR TECHNOLOGIES STUDY SECTION,CMT,2/15/2023,"SUGGS, LAURA,  PHD",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,COCKRELL SCHOOL OF ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,2/23/2023,"CASTILLO, EDWARD,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,6/8/2023,"CASTILLO, EDWARD,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,6/15/2023,"SEIDLITS, STEPHANIEKRISTIN,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR TECHNOLOGIES STUDY SECTION,CMT,6/21/2023,"SUGGS, LAURA,  PHD",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,COCKRELL SCHOOL OF ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
IMAGING PROBES AND CONTRAST AGENTS STUDY SECTION,IPCA,10/13/2022,"TUNNELL, JAMESW,  PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR TECHNOLOGIES STUDY SECTION,CMT,10/19/2022,"SUGGS, LAURA,  PHD",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,COCKRELL SCHOOL OF ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,10/20/2022,"SEIDLITS, STEPHANIEKRISTIN,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR IMMUNOLOGY - A STUDY SECTION,CMIA,3/16/2023,"MAYNARD, JENNIFERA,  PHD",PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR IMMUNOLOGY - A STUDY SECTION,CMIA,6/22/2023,"MAYNARD, JENNIFERA,  PHD",PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
CELLULAR AND MOLECULAR IMMUNOLOGY - A STUDY SECTION,CMIA,10/20/2022,"MAYNARD, JENNIFERA,  PHD",PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,1/31/2023,"BAIZ, CARLOSRAUL,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,6/6/2023,"BAIZ, CARLOS RAUL,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
IMAGING TECHNOLOGY DEVELOPMENT STUDY SECTION,ITD,2/27/2023,"PORTER, EMILY,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF ELECTRICAL,AND COMPUTER ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78751",,
CLINICAL TRANSLATIONAL IMAGING SCIENCE STUDY SECTION,CTIS,2/16/2023,"TAMIR, JONATHANISAAC,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,10/27/2022,"CHOWDHURY, SHWETADWIP,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78741",,,
GENETIC VARIATION AND EVOLUTION STUDY SECTION,GVE,2/15/2023,"WILKE, CLAUSO,  PHD",PROFESSOR AND DEPARTMENT CHAIR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
GENETIC VARIATION AND EVOLUTION STUDY SECTION,GVE,6/13/2023,"WILKE, CLAUSO,  PHD",PROFESSOR AND DEPARTMENT CHAIR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,
