Study Section,Abbreviation,Startdate,Firstname,Lastname,Zipcode,Name,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6,Ad7
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,JOSE R,ALVARADO,78712,"ALVARADO, JOSE R, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PHYSICS,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,2/22/2024,CARLOS RAUL,BAIZ,78712,"BAIZ, CARLOS RAUL, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,10/12/2023,CARLOS RAUL,BAIZ,78712,"BAIZ, CARLOS RAUL, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
DRUG AND BIOLOGIC THERAPEUTIC DELIVERY STUDY SECTION,DBTD,6/17/2024,AARON BLAIR,BAKER,78712,"BAKER, AARON BLAIR, PHD",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,COCKRELL SCHOOL OF ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
POPULATION BASED RESEARCH IN INFECTIOUS DISEASE STUDY SECTION,PRID,6/25/2024,DARLENE,BHAVNANI,78746,"BHAVNANI, DARLENE, PHD, MPH",ASSISTANT PROFESSOR,DEPARTMENT OF POPULATION HEALTH,DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78746",,
MODELING AND ANALYSIS OF BIOLOGICAL SYSTEMS STUDY SECTION,MABS,11/2/2023,GEORGE,BIROS,787121229,"BIROS, GEORGE, PHD",PROFESSOR,DEPARTMENT OF MECHANICAL ENGINEERING,INSTITUTE FOR COMPUTATIONAL ENGINEERING & SCIENCES,UNIVERSITY OF TEXAS,"AUSTIN,    TX,    787121229",,
CLINICAL TRANSLATIONAL IMAGING SCIENCE STUDY SECTION,CTIS,6/20/2024,ADAM M,BUSH,78712,"BUSH, ADAM M, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,6/17/2024,ALISON G,CAHILL,78712,"CAHILL, ALISON G, MD",PROFESSOR,DEPARTMENT OF WOMEN'S HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,2/20/2024,ALISON G,CAHILL,78712,"CAHILL, ALISON G, MD",PROFESSOR,DEPARTMENT OF WOMEN'S HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
PREGNANCY AND NEONATOLOGY STUDY SECTION,PN,10/24/2023,ALISON G,CAHILL,78712,"CAHILL, ALISON G, MD",PROFESSOR,DEPARTMENT OF WOMEN'S HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
