Section Name,Section Abbreviation,Date,Zipcode,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,48109,"GUDJONSSON, JOHANN  ELI",ARTHUR C. CURTIS PROFESSOR OF CUTANEOUS IMMUNOLOGY,DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF MICHIGAN,"ANN ARBOR,       MI,       48109",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,33136,"BADIAVAS, EVANGELOS  VAN",PROFESSOR,DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,"MIAMI,       FL,       33136",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,2115,"CHIU, ISAAC  MING-CHENG",ASSOCIATE PROFESSOR,DEPARTMENT OF IMMUNOLOGY,BLAVATNIK INSTITUTE,HARVARD MEDICAL SCHOOL,"BOSTON,       MA,       02115",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,92697,"DAI, XING",PROFESSOR,DEPARTMENT OF BIOLOGICAL CHEMISTRY AND,DEPARTMENT OF DERMATOLOGY,SCHOOL OF MEDICINE,"UNIVERSITY OF CALIFORNIA, IRVINE","IRVINE,       CA,       92697",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,79106,"DAS, HIRANMOY",PROFESSOR,DEPARTMENT OF BIOMEDICAL SCIENCES,SCHOOL OF PHARMACY,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,"AMARILLO,       TX,       79106",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,92093,"DI NARDO, ANNA","PROFESSOR, VICE CHAIR OF RESEARCH",DEPARTMENT OF DERMATOLOGY,UNIVERSITY OF CALIFORNIA SAN DIEGO,"LA JOLLA,       CA,       92093",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,80523,"DI PIETRO, SANTIAGO  MAURO",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,AND MOLECULAR BIOLOGY,COLORADO STATE UNIVERSITY,"FORT COLLINS,       CO,       80523",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,91766,"DRECHSLER, YVONNE",PROFESSOR,COLLEGE OF VETERINARY MEDICINE,WESTERN UNIVERSITY OF HEALTH SCIENCES,"POMONA,       CA,       91766",,,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,80045,"FREED, BRIAN  M",EXECUTIVE DIRECTOR,DEPARTMENT OF MEDICINE,DIVISION OF ALLERGY AND CLINICAL IMMUNOLOGY,DENVER SCHOOL OF MEDICINE,UNIVERSITY OF COLORADO,"AURORA,       CO,       80045",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,73190,"GALLUCCI, RANDLE  MICHAEL",ASSOCIATE PROFESSOR,DEPARTMENT OF PHARMACEUTICAL SCIENCES,OUHSC COLLEGE OF PHARMACY,UNIVERSITY OF OKLAHOMA,"OKLAHOMA CITY,       OK,       73190",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,60611,"GREEN, KATHLEEN  JANEE",JOSEPH L MAYBERRY PROFESSOR,DEPARTMENTS OF PATHOLOGY AND DERMATOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO,       IL,       60611",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,92093,"GUMA, MONICA",PROFESSOR,"DIVISION OF RHEUMATOLOGY, ALLERGY,",AND IMMUNOLOGY,SCHOOL OF MEDICINE,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","LA JOLLA,       CA,       92093",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,60637,"HE, YU-YING",PROFESSOR,SECTION OF DERMATOLOGY,DEPARTMENT OF MEDICINE,CANCER RESEARCH CENTER,THE UNIVERSITY OF CHICAGO,"CHICAGO,       IL,       60637",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,21201,"HORNYAK, THOMAS  J",ASSOCIATE CHIEF OF STAFF FOR RESEARCH AND DEVELOPMENT,VETERANS AFFAIRS MARYLAND HEALTH CARE SYSTEM,RESEARCH AND DEVELOPMENT SERVICE,BALTIMORE VETERANS AFFAIRS MEDICAL CENTER,"BALTIMORE,       MD,       21201",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,10021,"IVASHKIV, LIONEL  B.",CHIEF SCIENTIFIC OFFICER,DEPARTMENT OF MEDICINE AND IMMUNOLOGY,HOSPITAL FOR SPECIAL SURGERY,WEILL CORNELL MEDICINE,"NEW YORK,       NY,       10021",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,11203,"JAGDEO, JARED  R",ASSOCIATE PROFESSOR,DERMATOLOGY DEPARTMENT,DIRECTOR OF PHOTOMEDICINE,DEPARTMENT OF MOLECULAR CELL BIOLOGY,SUNY DOWNSTATE MEDICAL CENTER,"BROOKLYN,       NY,       11203",
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,46202,"KAPLAN, MARK  H",PROFESSOR AND NICOLE BROWN CHAIR,DEPARTMENT OF MICROBIOLOGY AND IMMUNOLOGY,SCHOOL OF MEDICINE,INDIANA UNIVERSITY,"INDIANAPOLIS,       IN,       46202",,
"ARTHRITIS, CONNECTIVE TISSUE AND SKIN STUDY SECTION",ACTS,6/25/2024,43016,"LI, HAICHANG",ASSISTANT PROFESSOR,DEPARTMENT OF VETERINARY BIOSCIENCES,OHIO STATE UNIVERSITY,"COLUMBUS,       OH,       43016",,,
