Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
[SEP] TOPICS IN CLINICAL INFORMATICS AND DATA ANALYTICS,ZRG1 HSS - N (90),07/11/24,"BARTSCH, DIRK-UWE G, PHD",ADJUNCT PROFESSOR,DEPARTMENT OF OPHTHAMOLOGY,SHILEY EYE INSTITUTE,UC SAN DIEGO HEALTH,"LA JOLLA,    CA,    92093",,
[SEP] NUCLEIC ACID THERAPEUTIC DELIVERY (NATD),ZRG1 BBBT - X (81),03/12/24,"HOCHMAN-MENDEZ, CAMILA, PHD",ASSISTANT INVESTIGATOR AND DIRECTOR,REGENERATIVE MEDICINE RESEARCH,AND BIOREPOSITORY CORE,TEXAS HEART INSTITUTE,"HOUSTON,    TX,    77030",,
[SEP] NUCLEIC ACID THERAPEUTIC DELIVERY (NATD),ZRG1 BBBT - X (81),11/14/23,"HOCHMAN-MENDEZ, CAMILA, PHD",ASSISTANT INVESTIGATOR AND DIRECTOR,REGENERATIVE MEDICINE RESEARCH,AND BIOREPOSITORY CORE,TEXAS HEART INSTITUTE,"HOUSTON,    TX,    77030",,
[SEP] TOPICS IN CLINICAL INFORMATICS AND DATA ANALYTICS,ZRG1 HSS - N (90),07/11/24,"RASOOL, GHULAM, PHD",ASSISTANT MEMBER,H. LEE MOFFITT CANCER CENTER AND,RESEARCH INSTITUTE,"TAMPA,    FL,    33612",,,
[SEP] CARDIOVASCULAR DIFFERENTIATION AND DEVELOPMENT,ZRG1 CDD - Q (81),07/02/24,"LIM, HUI-YING, BS, PHD",ASSISTANT MEMBER,FREE RADICAL BIOLOGY AND AGING PROGRAM,OKLAHOMA MEDICAL RESEARCH FOUNDATION,"OKLAHOMA CITY,    OK,    73104",,,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"ARRANT, ANDREW EMMETT, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,SCHOOL OF MEDICINE,UNIVERSITY OF ALABAMA AT BIRMINGHAM,"BIRMINGHAM,    AL,    35294",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"HAMLETT, ERIC DANIEL, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PATHOLOGY AND LABORATORY MEDICINE,COLLEGE OF MEDICINE,MEDICAL UNIVERSITY OF SOUTH CAROLINA,"CHARLESTON,    SC,    29425",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"JOSHI, SUCHITRA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,UNIVERSITY OF VIRGINIA,"CHARLOTTESVILLE,    VA,    22908",,,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"MORUNO MANCHON, JOSE FELIX, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,MCGOVERN MEDICAL SCHOOL,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER,"HOUSTON,    TX,    77030",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"REED, ERIN G, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PHARMACEUTICAL SCIENCES,NORTHEAST OHIO MEDICAL UNIVERSITY,"ROOTSTOWN,    OH,    44272",,,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"REXACH, JESSICA E, MD, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,DAVID GEFFEN SCHOOL OF MEDICINE,UNIVERSITY OF CALIFORNIA LOS ANGELES,"LOS ANGELES,    CA,    90095",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"SONNTAG, KAI CHRISTIAN, MD, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY,HARVARD MEDICAL SCHOOL,MCLEAN HOSPITAL,"BOSTON,    MA,    02115",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"STAUCH, KELLY LYNN, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGICAL SCIENCES,UNIVERSITY OF NEBRASKA MEDICAL CENTER,UNIVERSITY OF NEBRASKA,"OMAHA,    NE,    68198",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"THATHIAH, AMANTHA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROBIOLOGY,SCHOOL OF MEDICINE,UNIVERSITY OF PITTSBURGH,"PITTSBURGH,    PA,    15260",,
[SEP] PAR PANEL: RESEARCH ON CURRENT TOPICS IN ALZHEIMER'S DISEASE AND ITS RELATED DEMENTIAS,ZRG1 AN - Q (55),06/13/24,"ZHANG, QI, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOCHEMISTRY AND CHEMISTRY,FAU ADVANCED CELL IMAGING CORE,FLORIDA ATLANTIC UNIVERSITY,"JUPITER,    FL,    33458",,
[SEP] TOPICS IN NEUROGENESIS AND METABOLISM,ZRG1 AN - Q (90),07/23/24,"MADHAVAN, LALITHA, PHD, MD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,AND MOLECULAR CELLULAR BIOLOGY,UNIVERSITY OF ARIZONA,"TUCSON,    AZ,    85724",,
[SEP] TOPICS IN NEUROGENESIS AND METABOLISM,ZRG1 AN - Q (90),07/23/24,"MORGANTI, JOSH, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEROSCIENCE,UNIVERSITY OF KENTUCKY,"LEXINGTON,    KY,    40536",,,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"AL-RAMAHI, ISMAEL, BS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF MOLECULAR AND HUMAN GENETICS,JAN AND DAN DUNCAN NEUROLOGICAL RESEARCH INSTITUTE,BAYLOR COLLEGE OF MEDICINE,"HOUSTON,    TX,    77030",,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"BENNETT, RACHEL ELISE, PHD, BS",ASSISTANT PROFESSOR,ALZHEIMER'S DISEASE RESEARCH UNIT,HARVARD MEDICAL SCHOOL AND,MASSACHUSETTS GENERAL HOSPITAL,"CHARLESTOWN,    MA,    02129",,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"BRASKIE, MEREDITH NICOLE, PHD, BBA",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,IMAGING GENETICS CENTER AT INI,"MARINA DEL REY,    CA,    90292",,,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"CONLEY, SHANNON M, PHD, MPH",ASSISTANT PROFESSOR,DEPARTMENT OF CELL BIOLOGY,COLLEGE OF MEDICINE,UNIVERSITY OF OKLAHOMA,"OKLAHOMA CITY,    OK,    73104",,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"FARACO, GIUSEPPE, MD, PHD",ASSISTANT PROFESSOR,FEIL FAMILY BRAIN AND MIND RESEARCH INSTITUTE,WEILL CORNELL MEDICINE,"NEW YORK,    NY,    10065",,,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"NANGA, RAVI PRAKASH REDDY, BS, MS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF RADIOLOGY,PERELMAN SCHOOL OF MEDICINE,UNIVERSITY OF PENNSYLVANIA,"PHILIADELPHIA,    PA,    19104",,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"PIRES, PAULO W, MS, BS, PHD",ASSISTANT PROFESSOR,DEPARTMENTS OF PHYSIOLOGY AND SURGERY,COLLEGE OF MEDICINE,UNIVERSITY OF ARIZONA,"TUCSON,    AZ,    857245051",,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"PROCTOR, ELIZABETH A, BA, BS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROSURGERY,PENNSYLVANIA STATE UNIVERSITY,"HERSHEY,    PA,    17033",,,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"SEIDLER, PAUL MATTHEW, MS, BS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND PHARMACEUTICAL,ALFERD E. MANN SCHOOL OF PHARMACY,UNIVERSITY OF SOUTHERN CALIFORNIA,"LOS ANGELES,    CA,    90089",,
"[SEP] PAR PANEL: NEUROVASCULAR, METABOLIC, AND SLEEP FACTORS INVOLVED IN ALZHEIMER?S DISEASE AND RELATED DEMENTIAS",ZRG1 AN - W (55),06/27/24,"YU, I-CHEN IVORINE, PHD",ASSISTANT PROFESSOR,"DEPARTMENT ANATOMY, CELL BIOLOGY",AND PHYSIOLOGY,INDIANA UNIVERSITY/PURDUE UNIVERSITY,"FORT WAYNE,    IN,    46805",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"AGARWAL, PUJA, PHD",ASSISTANT PROFESSOR,RUSH ALZHEIMER?S DISEASE CENTER,RUSH UNIVERSITY MEDICAL CENTER,"CHICAGO,    IL,    60612",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"AYATA, PINAR, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOLOGY,ADVANCED SCIENCE RESEARCH CENTER,CITY UNIVERSITY OF NEW YORK,"NEW YORK,    NY,    10031",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"BRAUN, DAVID JAMES, BS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROSCIENCE AND,SANDERS-BROWN CENTER ON AGING,UNIVERSITY OF KENTUCKY,"LEXINGTON,    KY,    40536",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"BURBERRY, AARON, BS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PATHOLOGY,SCHOOL OF MEDICINE,CASE WESTERN RESERVE UNIVERSITY,"CLEVELAND,    OH,    44106",,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"COULIBALY, AMINATA PORHY, BS, MS, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROSCIENCE,WEST VIRGINIA UNIVERSITY SCHOOL OF MEDICINE,"MORGANTOWN,    WV,    26506",,,
[SEP] NEUROIMMUNE AND NEUROINFLAMMATION INVOLVED IN NEURODEGENERATIVE DISORDERS,ZRG1 AN - Z (55),07/11/24,"DARVAS, MARTIN C, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF LABORATORY MEDICINE AND PATHOLOGY,UNIVERSITY OF WASHINGTON,"SEATTLE,    WA,    98104",,,
