Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6,Name_original,Lastname,First_and_middle,Firstname,Date_original,Zipcode
IMAGING GUIDED INTERVENTIONS AND SURGERY STUDY SECTION,IGIS,3/3/2022,"ALAMBEIGI, FARSHID",ASSISTANT PROFESSOR,WALKER DEPARTMENT OF MECHANICAL ENGINEERING,DEPARTMENT OF RESEARCH AREAS,ROBOTICS AND INTELLIGENT MECHANICAL SYSTEMS,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,"ALAMBEIGI, FARSHID, PHD*",ALAMBEIGI,FARSHID,FARSHID,03/03/22 - 03/04/22,78712
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,"ALVARADO, JOSE R",ASSISTANT PROFESSOR,DEPARTMENT OF PHYSICS,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,,"ALVARADO, JOSE  R, PHD",ALVARADO,JOSE R,JOSE,6/10/2024,78712
KIDNEY ENDOCRINE AND DIGESTIVE DISORDERS STUDY SECTION,KEDD,6/17/2024,"AMBROSINI, YOKO MIYAMOTO",ASSISTANT PROFESSOR,DEPARTMENT OF VETERINARY CLINICAL SCIENCES,COLLEGE OF VETERINARY MEDICINE,WASHINGTON STATE UNIVERSITY,"PULLMAN,       WA,       99164",,,"AMBROSINI, YOKO  MIYAMOTO, PHD, MPVM",AMBROSINI,YOKO MIYAMOTO,YOKO,6/17/2024,99164
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,2/16/2023,"AVAZMOHAMMADI, REZA",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,TEXAS A&amp;M UNIVERSITY,"COLLEGE STATION, TX, 77843",,,,"AVAZMOHAMMADI, REZA,  PHD*",AVAZMOHAMMADI,REZA,REZA,2/16/2023,77843
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,9/30/2021,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"BAIZ, CARLOS RAUL, PHD",BAIZ,CARLOS RAUL,CARLOS,09/30/21 - 10/01/21,78712
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,2/2/2022,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"BAIZ, CARLOS RAUL, PHD",BAIZ,CARLOS RAUL,CARLOS,02/02/22 - 02/03/22,78712
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,6/2/2022,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"BAIZ, CARLOS RAUL,  PHD",BAIZ,CARLOS RAUL,CARLOS,06/02/22 -,78712
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,1/31/2023,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"BAIZ, CARLOS RAUL,  PHD",BAIZ,CARLOS RAUL,CARLOS,1/31/2023,78712
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,6/6/2023,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"BAIZ, CARLOS RAUL,  PHD",BAIZ,CARLOS RAUL,CARLOS,6/6/2023,78712
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,10/12/2023,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,,"BAIZ, CARLOS  RAUL, PHD",BAIZ,CARLOS RAUL,CARLOS,10/12/2023,78712
BIOCHEMISTRY AND BIOPHYSICS OF MEMBRANES STUDY SECTION,BBM,2/22/2024,"BAIZ, CARLOS RAUL",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,,"BAIZ, CARLOS  RAUL, PHD",BAIZ,CARLOS RAUL,CARLOS,2/22/2024,78712
"BASIC BIOLOGY OF BLOOD, HEART AND VASCULATURE STUDY SECTION",BBHV,2/15/2022,"BAKER, AARON BLAIR",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,COCKRELL SCHOOL OF ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"BAKER, AARON BLAIR, PHD*",BAKER,AARON BLAIR,AARON,02/15/22 - 02/16/22,78712
DRUG AND BIOLOGIC THERAPEUTIC DELIVERY STUDY SECTION,DBTD,6/17/2024,"BAKER, AARON BLAIR",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,COCKRELL SCHOOL OF ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"BAKER, AARON  BLAIR, PHD",BAKER,AARON BLAIR,AARON,6/17/2024,78712
